location,avg,high,low,rain,wind
속초,13.3,17.8,9.1,2.4,2.3
철원,9.6,17,3.2,1.4,1.2
동두천,11.3,18.7,5.7,2.3,1.2
파주,10.5,17.9,4.5,2.1,1.5
대관령,7,13.1,1.5,2.1,3.3
춘천,10.5,17.5,5.1,1.5,1
백령도,12.9,15.7,10.6,1.7,4.3
강릉,13.9,18.7,9.7,2.8,2.6
동해,13.4,18,9,2.1,2.4
서울,13,18,8.6,1.9,2.1
인천,13.3,17.8,9.5,1.6,2.5
원주,11.1,18,5.4,1.2,0.8
울릉도,13.8,17.4,11.4,2.3,3.3
수원,12.5,18.4,7.4,1.4,1.5
영월,10.7,18.2,4.9,1.3,1.1
충주,10.7,18.1,4.7,1.3,1.3
서산,12.3,18.6,6.8,1.7,2
울진,13.4,18.5,8.5,1.4,3.1
청주,12.6,18.8,7.2,1.3,1.3
대전,12.6,18.9,7.3,1.3,1.4
추풍령,11.2,17.8,5.5,0.9,2.2
안동,11.5,18.5,5.8,0.8,1.3
상주,11.7,18.5,6.3,1,1.3
포항,15.1,19.7,11.1,0.6,2.4
군산,13.4,18.5,9,1.4,2.7
울산,14.7,20.3,10.1,0.9,1.9
창원,15.5,20.5,11.4,0.8,1.6
광주,14.3,20.1,9.4,1.1,1.6
부산,16.2,21,12.6,2,3
통영,15.7,20.8,11.7,1.1,2.4
목포,15,19.9,11,1,3.8
여수,15.7,19.6,12.7,0.9,4.3
흑산도,15.5,18.1,13.7,1.4,5.6
완도,15.2,19.7,11.3,1.4,3.1
고창,13.3,19.1,8.1,1.5,2.4
제주,17,20.1,14.2,2.1,3.2
고산,17,20,14.4,1.7,6.9
성산,16.6,20.4,13,3,3.2
서귀포,18.1,22,14.9,3,2.6
진주,12.9,20.5,6.6,1,1
강화,11.7,17.4,6.3,1.8,1.7
양평,10.9,18.1,5.3,1.4,1.1
이천,10.9,18.3,4.8,1.4,1
인제,9.7,17.2,4.1,1.5,1.5
홍천,9.7,18,4,1.3,0.9
태백,8.6,15.3,3,1.1,1.4
정선군,10.3,17.5,5.4,1.5,1.4
제천,9.3,17.5,2.7,1.7,1.2
보은,10.2,18.1,3.8,1.2,1.1
천안,11.4,18.5,5.3,1.6,1.5
보령,13.3,18.8,8.4,1.6,1.6
